"Figure 1. Heating and Cooling Degree Days in the Contiguous 48 States, 1895-2020",,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: NOAA, 2021",,
Web update: April 2021,,
Units: degree days (Fahrenheit),,
,,
Year,Heating degree days (colder than 65°F),Cooling degree days (warmer than 65°F)
1895,5143,1130
1896,4708,1258
1897,4765,1185
1898,4751,1244
1899,4889,1219
1900,4572,1296
1901,4990,1235
1902,4800,1144
1903,4904,989
1904,5110,1059
1905,4994,1166
1906,4713,1177
1907,4859,1058
1908,4604,1151
1909,4797,1113
1910,4731,1118
1911,4645,1286
1912,5124,1087
1913,4561,1143
1914,4854,1164
1915,4744,1048
1916,4935,1127
1917,5332,1039
1918,4777,1181
1919,4709,1195
1920,4936,1055
1921,4166,1328
1922,4586,1239
1923,4713,1115
1924,5073,1051
1925,4689,1273
1926,4915,1152
1927,4471,1111
1928,4682,1105
1929,4840,1129
1930,4687,1224
1931,4253,1330
1932,4588,1201
1933,4487,1334
1934,4519,1371
1935,4802,1187
1936,4809,1364
1937,4825,1245
1938,4337,1232
1939,4443,1308
1940,4947,1087
1941,4496,1232
1942,4676,1146
1943,4824,1240
1944,4723,1235
1945,4686,1147
1946,4277,1132
1947,4777,1229
1948,4759,1201
1949,4443,1268
1950,4712,1080
1951,4744,1168
1952,4587,1272
1953,4277,1276
1954,4425,1275
1955,4721,1284
1956,4588,1187
1957,4537,1188
1958,4891,1161
1959,4581,1299
1960,4900,1177
1961,4700,1129
1962,4835,1160
1963,4866,1182
1964,4677,1162
1965,4680,1128
1966,4838,1123
1967,4733,1067
1968,4815,1105
1969,4860,1169
1970,4786,1209
1971,4671,1171
1972,4805,1131
1973,4449,1213
1974,4516,1108
1975,4583,1155
1976,4818,1016
1977,4685,1276
1978,5030,1219
1979,4863,1102
1980,4774,1298
1981,4577,1198
1982,4686,1130
1983,4689,1235
1984,4565,1206
1985,4694,1196
1986,4326,1246
1987,4373,1260
1988,4662,1278
1989,4716,1162
1990,4051,1263
1991,4225,1329
1992,4444,1054
1993,4709,1212
1994,4480,1225
1995,4519,1292
1996,4683,1197
1997,4532,1165
1998,3985,1423
1999,4154,1306
2000,4422,1258
2001,4200,1275
2002,4310,1379
2003,4495,1280
2004,4308,1222
2005,4323,1388
2006,4022,1359
2007,4258,1388
2008,4488,1273
2009,4482,1230
2010,4473,1444
2011,4324,1456
2012,3780,1479
2013,4491,1287
2014,4594,1272
2015,4128,1457
2016,3921,1528
2017,3876,1390
2018,4340,1547
2019,4374,1455
2020,3967,1476
